neuron,iou,feature_length,best lab,w_main,w_lateral
53,0.9675475197032916,7,(((((NOT RLeg) AND Vy1) OR AV4) AND (NOT Vx2)) OR A4),0.13572611,0.092790626
18,0.924075924075924,2,(RLeg OR Vy5),-0.085685335,-0.053916585
2,0.9197530864197532,6,(((((NOT Y1) AND Vy1) OR AV2) OR Vx2) OR Vy2),0.08321574,-0.014635181
12,0.8933711295246403,5,((((AV3 AND Vy1) OR Vx5) OR Vx2) AND Vy1),0.08541906,0.0029453628
51,0.8904341516507437,9,(((((NOT RLeg) AND Vy1) AND (NOT A4)) AND (NOT AV4)) AND (NOT Vx2)),0.103489764,0.01062351
29,0.888396501457726,4,(((NOT RLeg) AND Vy1) OR Vy2),0.057098296,0.04452678
42,0.8868698710433763,7,(((((NOT RLeg) AND Vy1) AND (NOT Vx2)) OR A4) OR Vy2),0.100627944,0.10555293
36,0.8790641142509875,4,(((RLeg OR Vy5) OR AV4) OR LLeg),-0.21403547,0.056962226
15,0.8778859527121001,3,((NOT AV4) AND Y1),-0.044459112,-0.013805328
30,0.8765690376569037,3,((LLeg OR Y7) OR X3),-0.025872167,0.0020420172
49,0.8765606121627064,5,((((NOT AV4) AND Vy1) OR A4) OR Vy2),0.11631711,-0.041853443
28,0.8609456667071836,6,((((RLeg OR Y7) OR Y6) OR AV4) AND (NOT X4)),-0.057757467,0.034334175
9,0.844242125984252,4,(((NOT Y1) AND Vy1) OR Vy2),0.11125922,-0.0043648942
48,0.8349830999517142,8,(((((NOT RLeg) AND Vy1) AND (NOT X3)) AND (NOT Vx2)) OR A2),0.049034055,0.026203543
6,0.8315334773218143,4,(((NOT AV4) AND RLeg) OR Vy5),-0.067145936,-0.08612258
13,0.8271388499298737,4,(((NOT RLeg) AND Vy1) OR Vy2),0.117560096,-0.02764981
16,0.8255309431377027,6,((((X2 OR Y7) OR RLeg) AND (NOT X3)) OR X4),-0.098514915,-0.008574699
14,0.8225359911406424,6,((((RLeg OR Vy5) OR X4) AND (NOT Vx2)) OR Vy5),-0.009085961,-0.045268692
7,0.8214792299898683,7,(((((NOT RLeg) AND AV3) OR X1) OR AV4) AND (NOT A2)),-0.03213253,0.06465718
61,0.8181494027455875,6,((((Y1 OR Y2) OR Y3) AND (NOT AV2)) OR Vy5),-0.0424607,-0.018341947
0,0.79003003003003,6,((((X2 OR Y7) OR LLeg) AND (NOT X3)) OR X4),-0.013673681,0.030144194
62,0.7624319938913812,7,(((((NOT Y2) AND AV3) OR Y7) AND (NOT Y3)) OR X2),-0.06315574,-0.01500109
4,0.7511228837959231,7,(((((NOT RLeg) AND Vy1) OR AV2) AND (NOT Vx5)) OR AV4),0.16223139,0.06711461
22,0.7503473830477073,7,(((((NOT RLeg) AND Vy1) OR AV4) AND (NOT Vx2)) OR A4),0.13112603,0.06914505
20,0.7492439516129032,5,((((LLeg OR Vy5) OR Vx5) OR A2) OR AV2),-0.15762185,0.071553126
23,0.7466027178257394,6,(((((NOT AV2) AND RLeg) OR Vy5) OR AV4) AND A3),-0.108538225,-0.039964307
60,0.7405268022181146,5,((((LLeg OR Vy5) OR X3) OR AV4) OR Vx5),-0.17860366,-0.06082442
47,0.7330126277811184,5,((((NOT LLeg) AND Y1) OR Y2) AND Vy1),0.058111873,0.009195368
25,0.7309495896834701,6,((((NOT X3) AND (RLeg OR Y7)) OR X4) OR Vx5),-0.09044471,0.0051560197
10,0.7266387726638772,7,((((NOT X3) AND (RLeg OR Y7)) AND (NOT X4)) OR AV4),-0.18474713,0.12828615
27,0.7154013444049031,8,((((A3 OR A4) AND (NOT X3)) AND (NOT Y2)) AND (NOT Y3)),-0.07345431,-0.048544712
3,0.7100506146059291,7,((((RLeg OR Y7) OR X2) AND (NOT X3)) AND (NOT Y2)),-0.020909088,-0.0008585966
52,0.6777510391599213,6,(((((NOT AV2) AND Y1) OR Vy5) OR Vx2) AND A3),-0.13765396,-0.047132157
50,0.6770884220810943,8,((((NOT Y1) AND (X1 OR Y7)) AND (NOT Y2)) AND (NOT Vy5)),0.024472956,-0.0213542
40,0.6721860296778863,6,((((AV3 OR AV4) AND (NOT X4)) OR A4) OR Vy5),-0.0696302,0.024633812
11,0.6667105436356456,8,(((((NOT Y1) AND Vy1) AND (NOT Y2)) OR AV4) AND (NOT X3)),0.027951019,0.004279297
31,0.661451542807475,8,(((((NOT Y7) AND Vy1) AND (NOT RLeg)) OR X3) AND (NOT Y6)),0.04029437,0.06686827
41,0.6534189995410739,7,((((A3 OR A4) AND (NOT X3)) AND (NOT AV2)) OR Vy5),-0.05166974,0.309234
55,0.6529979735367744,8,(((((NOT LLeg) AND Vy1) AND (NOT AV4)) AND (NOT X3)) OR AV2),0.040672354,-0.010878515
45,0.6521615066343273,7,((((NOT A4) AND (RLeg OR Y7)) AND (NOT X3)) OR A2),-0.089706086,0.014231851
35,0.6396023198011599,7,((((A2 OR A3) AND (NOT X4)) AND (NOT AV4)) OR Vy5),-0.014759663,-0.07980525
33,0.6377523673396462,2,(A2 OR A3),-0.022784865,0.026333148
17,0.6368280223789832,6,((((A4 OR LLeg) OR Vy5) OR AV4) AND (NOT AV2)),-0.023033367,-0.024665503
8,0.6343476531424026,8,((((NOT X3) AND (Vy1 OR Y1)) AND (NOT Y3)) AND (NOT Y5)),-0.029844126,0.34362802
38,0.6332848837209303,7,((((NOT X3) AND (RLeg OR Y7)) AND (NOT AV2)) OR AV4),-0.14512055,0.063731536
26,0.630082763584023,6,((((NOT X3) AND (Y6 OR Y7)) OR AV4) AND Vy1),0.104887225,0.02292811
19,0.6256470588235294,6,((((X2 OR Y7) OR RLeg) AND (NOT X3)) OR X4),-0.013847708,0.0138965
34,0.6109311740890688,6,((((RLeg OR X3) OR Vy5) OR Vx2) AND (NOT A4)),-0.16808823,-0.09236964
63,0.6058533916849015,5,(((A2 OR A3) AND (NOT AV4)) OR Vy5),-0.03415803,-0.10213065
32,0.5977401129943503,7,(((((NOT Y7) AND AV3) OR AV2) AND (NOT Y6)) OR A2),-0.012801866,-0.1117886
24,0.564640543042271,6,((((LLeg OR X2) AND (NOT Y7)) OR Vx5) OR X4),-0.000983227,0.014739967
54,0.5640861931364725,8,(((((NOT X2) AND Vy1) OR Y2) AND (NOT X4)) AND (NOT RLeg)),0.15839702,-0.20402867
56,0.557347670250896,7,(((((NOT Y7) AND Vx1) OR X4) AND (NOT AV4)) OR Vy5),-0.017470935,-0.1774748
43,0.5365671641791044,6,((((NOT LLeg) AND (X1 OR X3)) OR Y2) OR Y3),-0.024339393,-0.2609776
57,0.5292578496669839,8,(((((NOT RLeg) AND Vy1) AND (NOT X4)) OR AV2) AND (NOT Vx5)),0.11737318,-0.104078405
1,0.5288938690571474,7,(((((NOT RLeg) AND AV3) AND (NOT Y7)) OR AV4) OR A4),0.018469254,0.060922332
21,0.5200729927007299,6,(((((NOT LLeg) AND X2) OR X4) OR AV4) AND Vy1),0.13676819,0.1259675
5,0.4949329846355018,7,(((((NOT RLeg) AND A3) OR AV2) OR A2) AND (NOT X4)),-0.0086974725,-0.37737948
58,0.4897297297297297,5,(((A2 OR A3) AND (NOT X4)) OR Y6),-0.09096181,-0.19280598
37,0.4830220713073005,8,(((((NOT Y7) AND Vy1) AND (NOT RLeg)) OR X3) AND (NOT Y6)),0.091939226,0.03261146
46,0.3934160820291419,6,((((NOT RLeg) AND (X2 OR X4)) OR AV4) OR Vx5),-0.01499884,0.101948686
59,0.3843369529450477,6,((((NOT RLeg) AND (X1 OR X3)) OR Y3) OR Y2),0.1307327,0.050448798
44,0.3476408912188728,5,((((AV2 OR Vy5) OR Vx5) OR Vx2) OR A2),-0.00020953195,-0.032167234
39,0.2728658536585366,6,((((AV4 OR Vy5) OR X4) AND (NOT Y7)) OR Vx5),0.0057397797,-0.022448316
